Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-06-01","2,715","12,495","5.8","0","1,440","0","0","0","0"
"2019-06-02","2,740","12,743","5.91","0","1,093","174","13","72","1,263"
"2019-06-03","2,932","15,138","7.03","0","648","266","26","66","1,624"
"2019-06-04","2,466","8,038","3.73","0","789","276","6","0","1,066"
"2019-06-05","2,514","9,084","4.22","0","1,057","219","30","19","1,098"
"2019-06-06","2,892","14,744","6.84","0","610","265","12","65","1,568"
"2019-06-07","2,548","9,397","4.36","0","667","233","20","25","1,138"
"2019-06-08","2,593","10,080","4.68","0","630","259","16","20","1,205"
"2019-06-09","2,585","11,104","5.15","0","671","152","6","67","1,120"
"2019-06-10","3,261","21,255","9.87","0","486","248","137","47","2,047"
"2019-06-11","3,018","16,229","7.53","0","508","297","17","69","1,744"
"2019-06-12","2,901","13,974","6.49","0","668","345","74","3","1,665"
"2019-06-13","2,806","11,761","5.46","0","634","328","26","30","1,515"
"2019-06-14","2,812","14,216","6.6","0","641","193","14","80","1,416"
"2019-06-15","2,817","13,692","6.36","0","611","252","6","67","1,482"
"2019-06-16","2,792","13,466","6.25","0","647","230","14","66","1,436"
"2019-06-17","3,142","19,064","8.85","0","504","246","137","39","1,922"
"2019-06-18","2,548","9,265","4.3","0","634","293","21","0","1,192"
"2019-06-19","2,463","7,839","3.64","0","837","235","13","16","1,028"
"2019-06-20","2,858","14,531","6.74","0","607","243","18","64","1,511"
"2019-06-21","2,520","9,027","4.19","0","603","253","14","14","1,113"
"2019-06-22","2,110","3,495","1.62","0","832","176","0","0","601"
"2019-06-23","2,140","3,823","1.77","0","1,114","177","0","0","617"
"2019-06-24","2,859","15,088","7","0","676","176","14","95","1,471"
"2019-06-25","3,291","21,211","9.85","0","471","279","123","51","2,108"
"2019-06-26","2,506","8,331","3.87","0","526","254","15","19","1,107"
"2019-06-27","2,374","6,645","3.08","0","690","246","11","0","942"
"2019-06-28","2,351","6,223","2.89","0","738","259","0","0","931"
"2019-06-29","2,892","14,520","6.74","0","588","272","8","66","1,570"
"2019-06-30","2,636","11,271","5.23","0","719","180","5","69","1,206"

